competitionID,amount,teamNumber,submissionNumber,orgName,NetWorth
4588,1,974,2526,,
4699,30000,2619,5014,,
4571,80000,799,267,Allen Institute for Artificial Intelligence,
4651,1,1462,3430,Airbnb,
4657,20000,1764,7343,,
4494,100000,40,1161,,
4504,50000,1300,2681,,
4704,20000,1127,1325,,
4521,10000,364,2607,NOAA,
4594,35000,3303,7204,,
4495,500,587,2483,,
4523,100000,59,4296,,
4487,100000,2226,5864,,
4493,10000,274,1605,,
4488,15000,673,2266,,
4481,50000,1076,3778,Recruit Holdings,
4467,30000,1323,5049,,
4477,10000,379,2108,,
4471,25000,2236,5512,,
4453,10000,340,1217,,
4438,20000,414,2004,Avito,
4104,100000,661,2074,,
4407,20000,1326,4761,Figure Eight,
4378,250,381,1243,,
4383,250,345,1283,,
4366,40000,1306,6461,,
4294,1,985,2123,Facebook,
4332,1,485,2371,Walmart,
4280,10000,3514,3266,,
4195,500,321,992,,
4272,30000,2257,3066,,
4117,16000,377,3679,,
4066,15000,341,95,,
3978,175000,1049,3541,Booz Allen Hamilton,
4031,30000,1528,5781,,
4043,1000,260,2291,,
4120,15000,1604,5921,,
3973,20000,439,691,,
3960,25000,504,8348,,
3984,5000,375,2462,,
3966,8000,1233,3251,,
3934,16000,718,1936,,
3887,13000,1785,5753,,
3951,25000,634,5589,,
3929,25000,285,2823,Avito,
3800,8000,200,2777,,
3641,5000,267,1923,,
3926,2000,472,5371,,
3928,680,120,895,,
3897,30000,952,6690,,
3778,100000,44,986,,
3788,50000,1568,4500,Allstate Insurance,
3774,3000,143,1085,,
3706,15000,248,90,,
3175,16000,326,970,,
3867,1000,205,4771,,
3772,8500,610,2307,,
3756,10000,675,3135,,
3757,125000,50,4138,,
3670,10000,362,682,The MathWorks,
3532,9000,194,2300,,
3618,70000,37,1848,,
3586,500,259,1665,Figure Eight,
3599,4000,532,1870,,
3524,5000,633,2384,,
3354,1000,160,1756,,
3504,25000,337,1347,,
3526,5000,625,2025,,
2969,25000,165,1148,,
3540,18500,425,3281,,
3403,1000,80,834,,
3370,10000,266,2498,,
3477,500,158,1147,,
3386,10000,53,238,,
3517,1800,79,852,,
3525,100000,6,21,,
3338,5000,1687,2399,,
3198,1,350,1666,,
3445,7500,553,3430,,
3507,500,76,495,,
3509,500,129,588,,
3446,7500,237,1343,,
3364,500,56,177,,
3366,500,211,1085,,
3471,500,24,128,,
3493,5000,108,458,,
3385,1000,40,246,,
3316,10000,475,1171,,
3377,1000,190,1028,,
3469,2350,132,1133,,
3353,10000,245,1371,,
2496,500000,1353,8205,,
3342,6000,289,1023,Adzuna,
3300,10000,0,0,,
3288,5000,223,1635,,
3289,900,0,0,,
3250,5000,0,0,,
3294,3000,355,1016,,
3084,20000,353,1459,,
3108,25000,243,1150,US Census Bureau,
3043,20000,161,733,Stack Overflow,
3065,7500,104,736,,
3066,7500,133,971,,
2975,40000,236,1609,,
3064,1000,25,152,,
3080,600,96,611,,
2917,10000,29,293,,
3023,10000,50,173,,
2863,10000,27,208,,
2888,10000,30,369,,
2984,10000,146,1414,,
2958,10000,86,582,,
2963,10000,133,695,,
2840,22500,363,1293,,
2860,1000,111,803,,
2895,500,89,501,,
2780,20000,699,2580,,
2748,8000,657,3601,,
2749,8000,163,3405,,
2667,100000,154,1692,,
2732,17500,264,1376,,
2889,7030,110,463,,
2762,1000,42,582,,
2602,10000,47,542,,
2606,5000,239,977,,
3321,10000,0,0,,
2589,10000,111,1095,,
2564,10000,570,2308,,
2551,5000,924,1489,,
2609,5000,200,687,,
2549,500,26,231,,
2509,10000,102,982,Allstate Insurance,
2518,10000,277,853,,
2499,10000,90,852,,
2487,3000,70,672,,
2489,500,259,1626,,
2479,10000,181,924,,
2488,1000,30,139,,
2478,950,176,798,,
2445,5000,204,1278,,
2467,10000,356,1047,,
2454,150,57,526,,
2464,950,117,861,,
2452,500,42,695,,
2447,617,252,1877,,
2448,500,55,455,,
2435,500,107,632,,
2438,100,0,0,,
2442,100,63,50,,
2408,1000,22,22,,
